Row No,CPU_Load,Memory_Load,Latency,ORA00600,ORA07445,ORA03113,ORA12154,RCA
1,0,0,0,0,1,0,1,Low Memory
2,0,0,0,0,0,0,1,Low Memory
3,0,1,1,0,0,1,1,Low Memory
4,0,1,0,1,1,0,1,Low Memory
5,1,1,0,1,0,1,0,Network Latency
6,0,0,1,1,0,0,0,Network Latency
7,1,0,0,1,1,0,0,Network Latency
8,0,0,0,1,1,0,1,Database Bug
9,0,1,0,0,1,0,1,Low Memory
10,0,0,0,1,1,0,1,Network Latency
11,1,0,0,0,0,0,1,Low Memory
12,1,0,1,0,0,0,0,Database Bug
13,0,1,0,0,0,1,1,Low Memory
14,0,1,1,0,0,1,0,Database Bug
15,1,0,1,0,1,0,0,Network Latency
16,1,0,0,0,1,0,1,Low Memory
17,0,1,0,0,0,1,1,Low Memory
18,0,1,0,1,0,0,1,Low Memory
19,0,1,1,0,0,1,0,Network Latency
20,0,1,0,0,0,0,0,Low Memory
21,0,1,1,1,1,0,0,Network Latency
22,1,0,0,0,0,0,0,Low Memory
23,1,1,0,0,1,0,1,Low Memory
24,0,1,1,0,0,0,1,Low Memory
25,0,0,1,1,1,0,0,Network Latency
26,0,1,0,0,0,1,1,Low Memory
27,0,1,0,0,0,0,1,Low Memory
28,0,0,1,0,0,1,0,Network Latency
29,0,0,1,1,0,1,0,Network Latency
30,0,0,0,0,0,0,1,Low Memory
31,1,1,0,0,0,0,0,Database Bug
32,1,1,1,0,0,1,1,Low Memory
33,1,1,0,0,0,1,1,Low Memory
34,1,1,1,1,0,0,0,Network Latency
35,0,0,0,0,0,0,1,Low Memory
36,1,0,0,1,1,1,1,Database Bug
37,0,1,1,0,0,0,1,Low Memory
38,1,0,1,0,0,1,0,Database Bug
39,1,0,0,1,1,1,0,Database Bug
40,0,0,1,1,1,0,0,Network Latency
41,1,0,0,0,1,0,1,Network Latency
42,1,0,1,0,0,1,0,Database Bug
43,0,0,0,0,0,1,0,Low Memory
44,1,0,0,0,1,1,0,Database Bug
45,0,1,1,1,1,0,0,Network Latency
46,0,0,1,0,0,0,0,Network Latency
47,0,1,0,1,1,0,0,Network Latency
48,1,1,1,1,1,1,0,Database Bug
49,0,0,1,0,0,0,0,Network Latency
50,1,0,0,0,0,1,0,Database Bug
51,0,0,0,0,0,0,1,Low Memory
52,1,0,0,1,1,1,1,Database Bug
53,1,0,0,0,0,1,0,Database Bug
